HD -6 3 -6 -6
HD -6 -6 -6 -6
HD 3 -3 -3 -3
HD -9 -3 -6 -6
HD -3 -6 -3 -12
HD -6 -9 -3 -12
HD -3 21 -3 21
HD 12 -12 -9 -6
HD 9 12 9 9
HD 24 -9 3 -9
HD -6 3 -6 0
HD 12 -3 -6 -3
HD -3 -6 -6 -6
HD -3 -3 0 -3
HD -6 0 -6 0
HD 30 6 24 6
HD 15 -9 12 -9
HD -6 18 -6 15
HD -6 -12 -6 -6
HD 15 30 9 21
HD -12 -6 -12 -6
HD 15 -6 12 -6
HD -3 -3 -6 -3
HD -12 6 3 -12
HD 9 -6 9 -6
HD -3 -3 -21 -3
HD -12 -6 -12 -6
HD -3 -6 -3 -6
HD -6 -3 -6 -6
HD -15 -6 -15 -6
HD -6 -12 -6 -12
HD -6 -12 -6 -6
HD 3 -6 3 -6
HD -6 -6 -6 -6
HD -6 -6 -6 -6
HD 0 -6 0 -6
HD 6 -3 21 -3
HD -6 18 -6 -6
HD -6 -6 -6 -6
HD -12 12 -6 12
HD 27 0 -6 0
HD -6 -6 -6 -6
HD 6 -6 9 -6
HD -27 3 -27 -6
HD -6 0 -6 3
HD 24 0 12 0
HD -6 -3 -3 -6
HD 21 -6 12 -6
HD -12 -12 -12 -12
HD -6 -6 -12 -6
HD -6 -6 -6 -6
HD -6 -3 -6 -3
HD -3 -6 -3 -6
HD -3 -12 -3 -12
HD -6 -3 -6 0
HD -6 -6 -6 -6
HD -6 -3 -6 -3
HD -6 30 -6 -6
HD -9 -9 -9 -6
HD 3 -6 3 -6
HD -15 -6 -6 -6
HD -6 6 -6 -9
HD 0 0 0 -6
HD 0 3 0 3
HD -6 -6 -6 -6
HD -12 -3 -3 -12
HD 0 -9 -3 -12
HD -6 -9 -6 -6
HD -6 15 -6 -3
HD 0 -6 0 -6
HD -6 -6 -6 -3
HD -9 -6 -6 -6
HD -6 0 -6 -3
HD -6 -27 -6 -27
HD -6 -3 -6 -3
HD 15 -3 15 -6
HD -6 -3 -6 -3
HD -3 -6 -3 -6
HD -12 3 -12 0
HD -9 21 -12 18
HD -6 -12 -6 -6
HD 0 -12 -3 -12
HD 9 -6 -6 -6
HD -6 -3 -6 -6
HD 12 -3 -6 -3
HD 0 -9 -3 -9
HD -6 -3 -9 -3
HD -3 -9 -6 -6
HD -6 -3 -6 -6
HD 30 0 12 -6
HD -12 -6 -9 -6
HD -6 9 -3 0
HD -6 6 9 -6
HD 0 6 0 3
HD 3 -6 3 -6
HD 15 -12 21 -12
HD 6 -6 3 -6
HD -30 -3 -30 0
HD 27 -6 3 -6
HD -9 -3 -9 -3
HD -6 -6 -6 -6
HD 0 15 0 12
HD -6 -6 -6 3
HD -6 -3 -6 -6
HD -3 3 -9 0
HD 3 -3 -6 0
HD -6 -6 -6 -6
HD -6 -3 -6 -6
HD -6 -6 -6 -6
HD -6 30 -6 -6
HD -6 -6 -6 -6
HD -6 24 -6 24
HD -3 0 -3 0
HD 12 -6 -6 -6
HD -3 3 -3 0
HD 3 21 3 -6
HD -6 -3 -6 -6
HD 12 3 9 -3
HD 0 3 -12 12
HD 9 3 3 3
HD -6 -3 -6 -3
HD 18 -6 3 -6
HD -12 -6 -6 -6
HD -3 -6 -3 -6
HD -6 -3 -6 -3
HD -6 -6 -6 -6
HD 0 0 0 -6
HD -30 12 -30 24
HD -3 -6 -3 -6
HD 0 -3 3 -3
HD -6 -12 -12 -12
HD -6 -6 -6 -6
HD -12 -6 -12 -6
HD 0 9 0 -6
HD -6 9 -6 9
HD -3 -6 -3 -6
HD -6 -6 -3 -6
HD 0 -3 0 -3
HD 0 -3 12 -3
HD 15 -6 -6 -6
HD 0 -3 18 -3
HD -9 -6 -3 -6
