SSC03265 -4 4  -4 4 
SSC03267 -4 4  -4 4 
SSC03270 4 -4  4 -4 
SSC03280 -4 -4  -4 -4 
SSC03289 4 -8  4 -8 
SSC03356 4 -4  4 -4 
SSC03366 -8 -4  -8 -4 
SSC03390 -4 -4  -4 -4 
SSC03391 0 -4  0 -4 
SSC03397 -4 -4  -4 -4 
SSC03399 -4 4  -4 4 
SSC03400 -4 0  -4 0 
SSC03402 -4 -4  -4 -4 
SSC03426 -4 -4  -4 -4 
SSC03477 4 4  4 4 
SSC03479 -4 12  -4 12 
SSC03481 4 12  4 -4 
SSC03484 -4 -4  -4 -4 
SSC03489 4 4  4 4 
SSC03491 0 4  0 4 
SSC03492 4 4  4 4 
SSC03500 12 -4  12 -4 
SSC03514 -8 12  -8 12 
SSC03556 4 -4  4 -4 
SSC03567 12 4  8 4 
SSC03611 -4 -8  -4 -8 
SSC03616 4 4  4 4 
SSC03624 4 8  4 12 
SSC03629 -4 -4  -4 -4 
SSC03638 4 -4  4 -4 
SSC03642 -4 4  -4 4 
SSC03653 -4 12  -4 12 
SSC03656 12 4  12 -4 
SSC03659 -4 4  -4 4 
SSC03664 4 4  4 4 
SSC03684 -4 -4  -4 -4 
SSC03688 -4 16  -4 16 
SSC03693 4 4  4 4 
SSC03703 4 -4  4 -4 
SSC03719 4 12  4 12 
SSC03720 -4 4  -4 4 
SSC03727 4 16  4 12 
SSC03730 12 4  12 4 
SSC03768 0 4  0 4 
SSC03771 4 4  4 4 
SSC03794 8 -4  8 -4 
SSC03800 -4 -4  -4 -4 
SSC03850 4 -4  -4 0 
SSC03855 -4 -4  -4 -4 
SSC03944 12 -4  12 -4 
SSC03945 -4 -4  -4 -4 
SSC03975 4 -4  4 -4 
SSC03978 4 -4  4 -4 
SSC03994 4 -4  4 -4 
SSC03997 4 4  4 4 
SSC03999 -4 -4  -4 -4 
SSC04002 -4 -4  -4 -4 
SSC04008 4 4  4 4 
SSC04012 -4 12  -4 12 
SSC04032 4 4  4 4 
SSC04034 4 0  4 0 
SSC04052 -4 4  -4 4 
SSC04064 4 -4  4 -4 
SSC04221 4 4  4 4 
SSC04227 4 4  4 4 
SSC04270 4 -4  0 -4 
SSC04274 4 0  4 0 
SSC04306 4 4  4 4 
SSC04356 4 4  4 4 
SSC04364 4 4  4 4 
SSC04370 -4 4  -4 4 
SSC04372 4 4  4 4 
SSC04401 4 4  4 4 
SSC04409 4 4  4 4 
SSC04426 -4 4  -4 4 
SSC04436 4 4  4 4 
SSC04437 12 12  12 12 
SSC04442 4 12  4 12 
SSC04444 12 -4  16 -4 
SSC04446 4 12  4 12 
SSC04473 4 12  4 8 
SSC04489 -4 8  -4 4 
SSC04519 4 4  4 4 
SSC04521 4 4  4 4 
SSC04522 12 4  12 4 
SSC04523 4 4  4 4 
SSC04528 0 4  -4 4 
SSC04531 20 4  12 4 
SSC04543 12 12  12 12 
SSC04569 4 -4  4 -4 
SSC04572 12 0  12 0 
SSC04598 12 12  12 12 
SSC04600 -4 -4  -4 -4 
SSC04612 4 -4  4 -4 
SSC04617 4 16  4 16 
SSC04638 -4 4  -4 4 
SSC04646 4 -4  4 -4 
SSC04658 12 -4  16 -4 
SSC04678 4 -4  4 -4 
SSC04684 4 4  4 4 
SSC04722 4 4  4 4 
SSC04723 12 12  16 12 
SSC04737 -4 12  -4 12 
SSC04759 -4 -4  -4 -4 
SSC04760 4 4  4 4 
SSC04763 0 4  0 4 
SSC04765 4 4  4 4 
SSC04815 4 12  4 12 
SSC04820 4 -4  4 -4 
SSC04853 4 -4  4 -4 
SSC04862 8 4  8 4 
SSC04864 4 8  4 4 
SSC04867 12 4  12 4 
SSC04871 4 -4  4 -4 
SSC04887 -4 4  -4 4 
SSC04901 4 4  4 4 
SSC04935 4 4  4 12 
SSC04943 12 4  12 4 
SSC04944 -4 4  -4 4 
SSC04945 -8 -8  -8 -8 
SSC04947 4 4  4 4 
SSC04969 12 4  12 4 
SSC04972 12 -4  8 -4 
SSC04997 4 -4  4 -4 
SSC04998 4 12  4 12 
SSC05000 4 4  4 4 
SSC05010 -8 12  -8 12 
SSC05012 4 4  4 4 
SSC05019 4 -4  4 -4 
SSC05033 4 -4  4 -4 
SSC05041 8 4  8 4 
SSC05095 4 -4  4 -4 
SSC05096 4 -4  4 -4 
SSC05104 4 4  4 4 
SSC05106 4 0  4 0 
SSC05126 4 12  4 12 
SSC05127 4 -4  4 -4 
SSC05128 -4 0  -4 0 
SSC05131 12 8  12 8 
SSC05133 4 -4  4 -4 
SSC05151 -4 4  -4 4 
SSC05176 4 0  4 0 
SSC05184 -4 4  -4 4 
SSC05203 4 16  4 12 
SSC05209 4 12  4 8 
SSC05227 4 12  4 8 
SSC05237 4 4  4 4 
SSC05242 4 4  4 4 
SSC05245 4 4  4 4 
SSC05253 4 12  4 8 
SSC05256 12 4  12 8 
SSC05288 12 12  12 12 
SSC05291 -8 -8  -8 -8 
SSC05293 8 8  8 8 
SSC05303 0 4  0 4 
SSC05304 -4 -4  -4 -4 
SSC05308 4 0  4 0 
SSC05311 4 4  4 4 
SSC05313 4 4  4 4 
SSC05368 4 4  4 4 
SSC05379 4 12  4 12 
SSC05390 -4 4  -4 4 
SSC05419 4 12  4 12 
SSC05424 4 8  4 12 
SSC05441 -4 4  -4 4 
SSC05443 4 4  4 4 
SSC05454 4 4  4 4 
SSC05456 -4 8  -4 8 
SSC05474 4 -4  4 -4 
SSC05479 -4 -4  -4 -4 
SSC05486 4 4  4 4 
SSC05488 -4 4  -4 4 
SSC05504 8 4  8 -8 
SSC05534 4 -4  4 -4 
SSC05603 -4 -4  -4 -4 
SSC05606 4 4  4 4 
SSC05607 0 12  0 12 
SSC05609 4 8  4 12 
SSC05612 4 4  4 4 
SSC05620 12 -4  12 -4 
SSC05623 4 12  4 12 
SSC05636 12 4  12 4 
SSC05648 4 4  4 4 
SSC05683 -4 4  -4 4 
SSC05685 -4 -4  -4 -4 
SSC05695 -4 4  -4 4 
SSC05760 4 4  4 4 
SSC05764 -4 8  -4 8 
SSC05833 -4 -4  -4 -4 
SSC05843 4 4  4 4 
SSC05851 4 4  4 4 
SSC05852 12 4  12 4 
SSC05863 4 -4  4 -4 
SSC05864 4 4  4 4 
SSC05868 4 4  4 4 
SSC05871 4 4  4 4 
SSC05887 12 4  12 4 
SSC05891 -4 12  -4 12 
SSC05921 -4 4  -4 4 
SSC05922 -4 4  -4 4 
SSC05925 16 4  16 4 
SSC05927 4 4  4 4 
SSC05948 4 12  4 12 
SSC05953 4 4  4 12 
SSC05976 4 4  4 4 
SSC05985 -4 4  -4 4 
SSC05998 8 4  8 4 
SSC06002 8 4  4 4 
SSC06015 -4 4  -4 4 
SSC06016 8 -4  4 -4 
SSC06021 4 -4  4 -4 
SSC06022 4 -4  4 -4 
SSC06032 12 12  12 12 
SSC06034 4 4  4 4 
SSC06048 -4 4  -4 4 
SSC06058 -4 8  -4 8 
SSC06098 -4 4  -4 4 
SSC06101 -4 4  -4 4 
SSC06105 4 4  4 4 
SSC06119 4 12  4 12 
SSC06120 -4 4  -4 4 
SSC06123 -4 4  -4 4 
SSC06125 4 4  4 4 
SSC06135 12 -4  12 -4 
SSC06139 4 12  4 12 
SSC06158 -4 -4  -4 -4 
SSC06160 4 -4  4 -4 
SSC06177 4 -4  4 -4 
SSC06181 0 -4  0 -4 
SSC06207 4 -4  4 -4 
SSC06211 4 4  4 4 
SSC06251 -4 -4  -4 0 
SSC06261 4 -8  4 -8 
SSC06262 8 -4  8 -4 
SSC06288 4 8  4 4 
SSC06291 4 4  4 4 
SSC06328 4 4  4 -4 
SSC06329 12 12  12 12 
SSC06333 8 4  4 4 
SSC06337 4 4  4 4 
SSC06350 4 0  4 0 
SSC06357 -4 -4  -4 -4 
SSC06393 4 4  4 4 
SSC06402 4 12  4 12 
SSC06437 -4 12  -4 12 
SSC06440 4 4  4 4 
SSC06443 4 8  4 8 
SSC06449 4 -4  4 -4 
SSC06478 4 4  4 4 
SSC06486 0 4  -4 4 
SSC06528 4 -4  4 -4 
SSC06530 4 4  4 4 
SSC06531 4 -4  -4 4 
SSC06534 4 4  4 4 
SSC06539 -4 -4  -4 -4 
SSC06542 -4 4  -4 4 
SSC06550 0 0  0 0 
SSC06551 4 12  4 12 
SSC06617 -4 -4  -4 -4 
SSC06622 4 4  4 4 
SSC06626 8 4  12 4 
SSC06628 4 4  4 4 
SSC06630 4 4  4 4 
SSC06631 -1 4  -1 4 
SSC06641 4 12  4 12 
SSC06647 4 4  4 4 
SSC06661 -4 -4  -4 -4 
SSC06663 -4 -4  -4 -4 
SSC06665 4 -4  4 -4 
SSC06669 -4 12  -4 12 
SSC06673 -4 4  -4 4 
SSC06677 -4 4  -4 4 
SSC06685 -4 4  -4 4 
SSC06687 4 -4  4 -4 
SSC06713 -4 -4  -4 -4 
SSC06715 -4 -4  -4 -4 
SSC06727 12 8  4 12 
SSC06732 4 12  4 4 
SSC06757 12 -8  16 -8 
SSC06760 -4 4  -4 4 
SSC06791 4 -4  4 -4 
SSC06796 -4 -4  -4 -4 
SSC06856 4 4  4 4 
SSC06859 -1 4  -1 4 
SSC06876 -8 12  -8 16 
SSC06890 4 4  4 4 
SSC06893 4 4  4 4 
SSC06894 -4 4  -4 4 
SSC06896 0 12  -4 12 
SSC06902 0 4  0 4 
SSC06909 -4 -8  -4 -8 
SSC06910 4 -4  4 -4 
SSC06915 -4 4  -4 4 
SSC06933 4 4  4 4 
SSC06935 4 4  4 4 
SSC06939 4 4  4 4 
SSC06942 4 -4  4 -4 
SSC06975 4 12  4 12 
SSC06983 -4 4  -4 4 
SSC06988 0 -4  0 -4 
SSC06990 -4 8  -4 8 
SSC07017 -4 4  -4 4 
SSC07020 4 4  4 4 
SSC07031 4 4  4 4 
SSC07037 4 -4  4 -4 
SSC07050 -4 12  -4 8 
SSC07056 4 4  4 4 
SSC07080 0 4  0 4 
SSC07086 4 4  4 4 
SSC07102 4 -4  4 -4 
SSC07103 4 8  4 8 
SSC07104 12 -4  16 -4 
SSC07105 -4 4  -4 4 
SSC07109 8 16  4 12 
SSC07111 -4 0  -4 0 
SSC07146 4 4  4 4 
SSC07150 -4 12  -4 12 
SSC07152 4 4  4 4 
SSC07161 12 4  12 4 
SSC07164 -4 4  -4 4 
SSC07166 4 4  4 4 
SSC07188 -4 4  -4 4 
SSC07196 12 4  12 4 
SSC07197 4 -4  4 -4 
SSC07198 4 4  4 4 
SSC07203 -4 4  -4 4 
SSC07205 4 4  4 4 
SSC07213 4 0  4 0 
SSC07219 4 0  4 0 
SSC07241 -4 -4  -4 -4 
SSC07246 -4 4  -4 4 
SSC07266 12 -4  12 -4 
SSC07270 4 12  4 12 
SSC07306 4 12  4 12 
SSC07310 12 -4  12 -4 
SSC07311 4 4  4 4 
SSC07312 4 12  4 12 
SSC07319 12 -4  12 -4 
SSC07322 -4 4  -4 4 
SSC07375 4 4  4 4 
SSC07474 -4 -4  -4 -4 
SSC07478 4 4  4 4 
SSC07479 -4 4  -4 4 
SSC07483 4 4  4 4 
SSC07489 -4 -4  -4 -4 
SSC07499 -4 -4  -4 -4 
SSC07509 -4 0  -4 0 
SSC07531 -4 -4  -4 -4 
SSC07536 4 4  4 4 
SSC07573 4 -4  4 -4 
SSC07661 -4 4  -4 4 
SSC07667 -4 -4  -4 -4 
SSC07688 4 8  4 12 
SSC07692 4 12  4 12 
SSC07720 4 0  4 0 
SSC07724 12 12  12 12 
SSC07725 4 -4  4 -4 
SSC07731 4 4  4 4 
SSC07736 4 12  4 12 
SSC07737 12 12  12 12 
SSC07738 4 -4  4 -4 
SSC07744 8 4  8 4 
SSC07760 -4 -4  -4 -4 
SSC07762 4 -4  4 -4 
SSC07779 12 12  12 12 
SSC07781 12 16  16 16 
SSC07832 -4 -4  -4 -4 
SSC07840 -4 4  -4 4 
SSC07845 12 4  12 -4 
SSC07846 12 12  12 12 
SSC07848 -4 8  -4 8 
SSC07850 -4 4  -4 4 
SSC07866 -4 -4  -4 -4 
SSC07873 4 12  4 12 
SSC07905 4 4  4 4 
SSC07921 4 -4  4 -4 
SSC07925 8 -4  8 -4 
SSC07926 -4 4  -4 4 
SSC07937 0 4  0 4 
SSC07941 -4 4  -4 4 
SSC07955 4 4  4 4 
SSC07960 -4 4  -4 4 
SSC07973 16 -4  16 -4 
SSC07975 12 -4  12 -4 
SSC07978 4 -4  4 -4 
SSC07982 4 -4  4 -4 
SSC08007 -4 -4  -4 -4 
SSC08010 -4 -4  -4 -4 
SSC08017 -4 4  -4 4 
SSC08022 12 4  12 4 
SSC08037 4 4  4 4 
SSC08060 -4 4  -4 4 
SSC08063 4 4  4 4 
SSC08064 4 16  4 12 
SSC08068 -4 4  -4 4 
